SPOT	Gene Symbol	15m	30m	60m	90m	120m
1201	YDR214W	-1.668875	-2.665575	-3.457075	-0.827125	-1.9742
1209	YDR222W	-2.367275	-1.711725	-0.635025	0.50655	1.976475
1211	YDR224C	0.77	0.976425	1.022775	-1.92085	0.41265
1218	YDR231C	-0.4808	-1.2184	-1.45755	0.75295	0.240225
1241	YDR254W	-1.202875	-0.8276	-1.12285	0.153875	0.11235
1242	YDR255C	-1.33985	-1.33885	-1.113475	0.0918	0.454975
1243	YDR256C	0.697	0.932125	1.11735	0.248675	-0.199025
1247	YDR260C	0.20825	0.38245	0.41045	-0.155175	-1.4475
1254	YDR267C	0.26025	0.596225	0.5578	-0.16195	-0.608725
1259	YDR272W	-0.473425	-1.2433	-1.7315	1.00055	0.9261
1261	YDR274C	3.060775	3.177975	2.3204	-3.32595	-4.34355
1262	YDR275W	2.508375	2.844525	2.072725	-1.5113	-1.54815
1264	YDR277C	5.264333333	2.716566667	0.280866667	0.4924	0.990833333
1265	YDR278C	1.7375	2.5265	1.794725	-1.89625	-2.90735
1267	YDR280W	2.06805	1.208	0.9541	-1.011375	-1.3051
1269	YDR282C	-0.424325	-0.709825	-0.428575	0.664525	0.554825
1274	YDR287W	-0.987225	-1.10125	-0.979075	0.016825	0.599475
1284	YDR297W	1.2429	1.6192	0.2061	-1.54175	-0.633225
1286	YDR299W	2.410325	2.581	1.949525	-1.535225	-0.83155
1287	YDR300C	0.547725	0.6468	0.6911	-1.4502	-0.561475
1290	YDR303C	1.411225	1.55835	1.229875	-0.738525	-0.32235
1291	YDR304C	-1.004775	-1.40135	-1.731675	0.519375	0.613375
1298	YDR311W	1.000375	0.871375	0.80655	-0.596775	0.735275
1299	YDR312W	2.5238	2.763025	2.538125	-1.71135	-0.725225
1300	YDR313C	0.664925	0.99375	1.078375	-0.001675	0.69965
1308	YDR321W	-0.59935	-0.51845	-0.3173	-0.50615	-1.22205
1309	YDR322W	0.9166	0.967425	0.864175	-0.276625	0.493625
1310	YDR323C	-0.6287	0.086066667	0.1498	0.520533333	0.632933333
1317	YDR330W	-0.44135	-0.8582	-0.448175	0.0703	0.533475
1319	YDR332W	1.371475	1.227	1.496275	-0.473075	0.082
1322	YDR335W	-0.135125	-0.186875	0.19805	0.438225	0.7169
1326	YDR339C	0.5657	1.8006	1.351625	-1.199375	1.42755
1329	YDR342C	4.6061	3.15545	-0.016475	0.147075	1.90515
1330	YDR343C	2.8918	3.135175	0.52235	0.2032	1.1851
1331	YDR344C	1.805	0.9137	0.560925	0.08245	-0.4984
1332	YDR345C	3.030575	3.40325	0.7611	-2.368125	0.6558
