OldFileName,Header,Strain,Timepoint,Flask,Dyeswap,MasterList,NewFilename
13722128_2010-06-23_0635.gpr,dGLN3_LogFC_t15-4,dGLN3,15,4,1,46,13722128_2010-06-23_dGLN3_t15-Cy5_t0-Cy3_rep4.gpr
13738305_2010-07-02_0635_nonnormalized.gpr,dGLN3_LogFC_t15-5,dGLN3,15,5,-1,47,13738305_2010-07-02_dGLN3_t15-Cy3_t0-Cy5_rep5.gpr
13721681_2010-06-11_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t30-1,dGLN3,30,1,1,48,13721681_2010-06-11_dGLN3_t30-Cy5_t0-Cy3_rep1.gpr
13738234_2010-07-01_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t30-2,dGLN3,30,2,-1,49,13738234_2010-07-01_dGLN3_t30-Cy3_t0-Cy5_rep2.gpr
13722125_2010-06-23_0635.gpr,dGLN3_LogFC_t30-4,dGLN3,30,4,1,50,13722125_2010-06-23_dGLN3_t30-Cy5_t0-Cy3_rep4.gpr
13738304_2010-07-02_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t30-5,dGLN3,30,5,-1,51,13738304_2010-07-02_dGLN3_t30-Cy3_t0-Cy5_rep5.gpr
13721679_2010-06-11_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t60-1,dGLN3,60,1,1,52,13721679_2010-06-11_dGLN3_t60-Cy5_t0-Cy3_rep1.gpr
13738235_2010-07-01_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t60-2,dGLN3,60,2,-1,53,13738235_2010-07-01_dGLN3_t60-Cy3_t0-Cy5_rep2.gpr
13738298_2010-07-22_0635.gpr,dGLN3_LogFC_t60-3,dGLN3,60,3,-1,54,13738298_2010-07-22_dGLN3_t60-Cy3_t0-Cy5_rep3.gpr
13722129_2010-06-23_0635.gpr,dGLN3_LogFC_t60-4,dGLN3,60,4,1,55,13722129_2010-06-23_dGLN3_t60-Cy5_t0-Cy3_rep4.gpr
13721680_2010-06-11_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t90-1,dGLN3,90,1,1,56,13721680_2010-06-11_dGLN3_t90-Cy5_t0-Cy3_rep1.gpr
13738233_2010-07-01_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t90-2,dGLN3,90,2,-1,57,13738233_2010-07-01_dGLN3_t90-Cy3_t0-Cy5_rep2.gpr
13738297_2010-07-22_rescanned_0635.gpr,dGLN3_LogFC_t90-3,dGLN3,90,3,1,58,13738297_2010-07-22_dGLN3_t90-Cy5_t0-Cy3_rep3.gpr
13738303_2010-07-02_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t90-5,dGLN3,90,5,-1,59,13738303_2010-07-02_dGLN3_t90-Cy3_t0-Cy5_rep5.gpr
13722124_2010-06-11_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t120-1,dGLN3,120,1,1,60,13722124_2010-06-11_dGLN3_t120-Cy5_t0-Cy3_rep1.gpr
13738232_2010-07-01_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t120-2,dGLN3,120,2,-1,61,13738232_2010-07-01_dGLN3_t120-Cy3_t0-Cy5_rep2.gpr
13738296_2010-07-22_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t120-4,dGLN3,120,4,1,62,13738296_2010-07-22_dGLN3_t120-Cy5_t0-Cy3_rep4.gpr
13738301_2010-07-02_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t120-5,dGLN3,120,5,-1,63,13738301_2010-07-02_dGLN3_t120-Cy3_t0-Cy5_rep5.gpr
14205383_2015-04-24.gpr,dHAP4_LogFC_t15-1,dHAP4,15,1,1,64,14205383_2015-04-24_dHAP4_t15-Cy5_t0-Cy3_rep1.gpr
14204556_2015-04-17.gpr,dHAP4_LogFC_t15-2,dHAP4,15,2,-1,65,14204556_2015-04-17_dHAP4_t15-Cy3_t0-Cy5_rep2.gpr
14204540_2015-04-07.gpr,dHAP4_LogFC_t15-3,dHAP4,15,3,1,66,14204540_2015-04-07_dHAP4_t15-Cy5_t0-Cy3_rep3.gpr
14205391_2015-04-14.gpr,dHAP4_LogFC_t15-4,dHAP4,15,4,-1,67,14205391_2015-04-14_dHAP4_t15-Cy3_t0-Cy5_rep4.gpr
14205382_2015-04-24.gpr,dHAP4_LogFC_t30-1,dHAP4,30,1,1,68,14205382_2015-04-24_dHAP4_t30-Cy5_t0-Cy3_rep1.gpr
14204554_2015-04-17.gpr,dHAP4_LogFC_t30-2,dHAP4,30,2,-1,69,14204554_2015-04-17_dHAP4_t30-Cy3_t0-Cy5_rep2.gpr
14204539_2015-04-07.gpr,dHAP4_LogFC_t30-3,dHAP4,30,3,1,70,14204539_2015-04-07_dHAP4_t30-Cy5_t0-Cy3_rep3.gpr
