SPOT	Gene Symbol	15m	30m	60m	90m	120m
2826	YIL050W	-0.423425	-0.550825	-1.00335	-1.207333333	-0.5417
2827	YIL051C	-1.265425	-1.4849	-1.513525	-0.858566667	-0.294233333
2838	YIL062C	-1.03125	-1.4181	-1.538625	0.589166667	0.2382
2839	YIL063C	-1.861375	-1.57795	-1.558	-0.293266667	-0.3656
2843	YIL067C	0.814525	1.044525	-0.112525	-0.030433333	-0.7949
2850	YIL074C	1.113875	1.29605	1.7769	0.3793	-0.100966667
2855	YIL079C	2.0919	1.307175	1.545475	-0.608966667	-0.947233333
2866	YIL090W	1.25065	1.9474	1.86275	-0.8827	-0.412633333
2867	YIL091C	2.49435	2.1245	1.24425	-0.8964	-0.876433333
2868	YIL092W	0.862125	1.477475	1.186125	-0.245333333	0.003866667
2872	YIL096C	2.20105	2.742575	2.1878	-0.716966667	0.193133333
2879	YIL103W	1.011875	1.62155	1.676275	-0.115633333	-0.723233333
2880	YIL104C	0.9186	1.946525	0.834675	-0.2123	-0.701966667
2888	YIL112W	-0.012775	-0.871675	-0.771725	-0.251466667	0.126333333
2889	YIL113W	-2.18645	-2.272325	-2.220575	1.7861	1.175
2890	YIL114C	-0.598225	-0.183225	-0.2736	-0.368933333	-1.0733
2894	YIL118W	1.532025	1.8103	1.923775	0.3641	0.195366667
2898	YIL122W	2.8565	2.184	0.6175	-0.220466667	-0.548266667
2904	YIL128W	0.305875	0.751425	0.72075	-0.080633333	-0.365366667
2912	YIL136W	-1.148725	-1.1114	-1.356725	1.043966667	1.581233333
2919	YIL143C	0.40315	0.66125	0.8465	-0.5057	-0.507433333
2920	YIL144W	-0.57765	-0.224175	-0.6306	-0.1512	0.6173
2926	YIL150C	-0.192475	-0.372675	-0.699925	-0.654466667	-1.0972
2936	YIL160C	0.735	0.958175	0.7247	0.5081	-0.55
2937	YIL161W	0.07195	0.9086	0.96565	0.801266667	-0.039766667
2946	YIL170W	1.28145	1.436825	0.188125	0.5231	0.137033333
2948	YIL172C	1.0968	1.241275	0.417575	0.615766667	0.047833333
2950	YIL174W	0.848175	0.825	1.637075	0.168133333	0.129866667
2957	YIR004W	0.91295	0.9809	0.899375	2.0312	0.60775
2958	YIR005W	0.624825	0.309175	0.71805	0.7804	0.511033333
2961	YIR008C	0.440825	0.74345	0.411275	-0.086466667	0.3445
2962	YIR009W	0.13795	0.543175	1.134175	0.460433333	0.740366667
2964	YIR011C	3.07	2.534375	1.92225	0.3251	-0.130266667
2970	YIR017C	-1.2711	-0.627925	0.1794	0.594433333	-0.199066667
2974	YIR021W	1.856775	1.74975	1.3062	0.556733333	-0.163666667
2979	YIR026C	1.88005	2.50965	2.9895	-0.818166667	-1.9801
2988	YIR035C	-1.69415	-1.157425	0.203575	1.165233333	1.231233333
2989	YIR036C	-0.941625	-0.47385	-1.82895	0.671166667	-0.407533333
2990	YIR037W	-0.793975	-1.01025	-0.8197	1.309066667	0.9824
2991	YIR038C	-1.73455	-1.3608	-1.506675	2.089066667	2.304233333
2992	YIR039C	-0.986625	-0.95635	-1.252875	0.540633333	0.947366667
3002	YJL005W	-0.745375	-0.87095	-0.935675	0.0045	0.9319
3003	YJL006C	1.235675	1.02725	1.1588	0.3553	-0.992533333
3005	YJL008C	1.5425	1.7487	1.32955	-0.248266667	-1.478833333
3007	YJL010C	1.633675	2.31985	2.610725	-0.535933333	-1.242433333
3008	YJL011C	0.85025	1.379075	1.392	0.0323	-0.153133333
3012	YJL015C	0.170675	0.68145	1.5188	2.3234	1.6713
3013	YJL016W	-0.21865	0.60275	1.026375	1.1966	0.868566667
3014	YJL019W	-0.25955	-0.527	-0.2636	-1.2012	0.00095
3015	YJL020C	-1.00865	-1.250525	-1.21445	-0.008433333	0.262733333
3016	YJL022W	1.14585	0.7143	0.749	0.2928	0.139033333
3019	YJL025W	0.717825	1.859975	1.762575	-0.4046	0.657266667
3021	YJL027C	1.051275	1.465466667	1.046225	0.825366667	-0.583966667
3024	YJL030W	-1.101825	-1.314175	-1.616575	-0.1326	-0.714666667
3027	YJL033W	1.89105	2.917425	2.63905	-0.768533333	-1.079633333
3029	YJL035C	1.78265	2.247125	2.80605	1.080033333	-1.217066667
3030	YJL036W	1.204366667	1.082225	1.2076	-0.218533333	-0.449933333
3031	YJL037W	-0.225566667	0.652575	0.4746	0.473066667	-0.8644
3034	YJL041W	0.139825	-0.08325	0.613825	-0.8063	-0.5751
3039	YJL046W	-1.32185	-1.0715	-0.6177	-0.050633333	0.054766667
3041	YJL048C	-0.410075	0.097975	-0.0354	0.965566667	0.582266667
3051	YJL058C	-0.679475	-0.7357	-0.86795	0.051266667	-0.273866667
3052	YJL059W	-0.929475	-1.44795	-2.0809	0.244133333	1.508066667
3059	YJL066C	-1.20295	-1.176225	-1.34185	0.270033333	1.7295
3060	YJL067W	-0.288975	-0.539725	-0.681275	-0.301866667	1.491733333
3061	YJL068C	-1.655225	-1.9943	-2.1178	0.645333333	1.8229
3062	YJL069C	2.2657	2.063725	2.1963	-0.8377	-0.6614
3064	YJL071W	-0.7369	-0.412625	-0.070675	0.978433333	1.228166667
3067	YJL074C	-1.235775	-1.12005	-0.8177	-0.4085	0.4371
3070	YJL077C	-0.26595	-0.587675	-0.189325	0.0011	1.7916
3072	YJL079C	0.40535	0.439975	1.23765	1.504666667	0.944366667
3077	YJL084C	0.4957	0.778425	0.712575	0.634033333	0.016033333
3080	YJL087C	0.460425	0.974333333	1.0364	-0.500633333	-1.144366667
3081	YJL088W	-1.25115	-1.081225	-1.28795	-0.191266667	-0.921866667
3084	YJL091C	-0.8745	-1.21835	-1.8943	-0.508066667	-0.991433333
3090	YJL097W	-1.247475	-1.49115	-1.705025	-0.920366667	-0.1558
3092	YJL099W	-0.36125	-0.395125	-0.257825	0.298433333	-1.678966667
3094	YJL101C	0.4264	0.865	1.403925	0.128066667	-1.279133333
3101	YJL108C	1.62905	0.6012	0.150725	0.016866667	0.7997
3103	YJL110C	1.30045	1.56165	1.04195	-0.3259	-0.749233333
3109	YJL116C	3.092525	2.7988	2.150875	1.2623	1.926066667
3114	YJL121C	-0.542025	-1.38135	-1.99775	-1.550766667	-0.383233333
3118	YJL125C	2.0582	1.86425	1.655575	-0.531333333	-0.764433333
3121	YJL128C	0.668425	0.98725	0.642075	-0.408766667	-0.039566667
3126	YJL133W	1.46575	1.838	0.63735	-0.258333333	-1.0685
3130	YJL137C	-0.704775	-0.76855	-1.6715	-0.217466667	0.261566667
3135	YJL142C	-1.980325	-2.10725	-0.8836	0.053866667	0.846933333
