SPOT	Gene Symbol	15m	30m	60m	90m	120m
1513	YDR527W	2.523175	2.159366667	0.158766667	-0.94155	-1.8539
1517	YDR531W	-0.328675	-0.606366667	-0.314575	-1.5317	0.155375
1525	YDR539W	0.304975	-0.274825	0.011875	0.29455	0.651525
1536	YEL005C	-0.73405	-0.41535	-0.162675	0.142175	0.6545
1538	YEL007W	-2.69935	-2.624325	-1.3729	0.97635	1.5415
1542	YEL011W	-0.5276	-0.955225	-0.583825	0.461075	0.7962
1547	YEL016C	-1.29925	-0.564225	-0.683325	0.321675	0.98585
1563	YEL031W	-0.0675	-0.541975	-0.63245	0.4049	0.3234
1578	YEL046C	2.826	3.085175	1.777925	0.02975	-0.52775
1593	YEL060C	-0.21795	0.137675	-0.10145	0.1223	2.060225
1596	YEL063C	1.491825	2.0513	0.976275	0.40135	0.14565
1599	YEL066W	-0.635225	-1.00435	-0.94865	-0.86765	0.3564
1602	YEL069C	-0.67415	-0.883025	-0.731775	-0.628825	-0.666475
1609	YEL075W-A	-1.58425	-1.8269	-0.8771	0.771525	0.194625
1618	YER006W	2.1952	2.56695	0.5466	-2.659175	-1.576775
1632	YER019C-A	-0.18875	-0.805925	-0.96035	-0.63655	-0.018566667
1637	YER023W	-1.166675	-1.1064	-1.16665	-0.754325	0.101075
1638	YER024W	-0.299875	-0.2599	-0.7148	-0.63315	0.02585
1642	YER028C	1.335975	1.1193	0.360175	-0.900525	-0.629975
1644	YER030W	-1.2668	-1.004	-1.000975	-1.295375	-0.596725
1650	YER036C	1.580925	2.53745	1.251725	-0.65735	-0.78745
1656	YER042W	-0.3395	-0.467625	-0.45785	-3.1955	-2.03265
1671	YER056C	2.4643	1.676225	-0.00045	-1.4435	-0.6359
1678	YER061C	-0.3388	-0.538125	-0.820825	-0.17875	0.932925
1686	YER068W	0.699975	0.716175	0.456975	0.3701	0.058425
1687	YER069W	-0.38975	-0.65905	-0.594325	0.035675	0.50395
1688	YER070W	-0.6192	-2.004475	-2.445975	-2.723275	-0.746525
1696	YER078C	0.454625	1.016175	0.90275	0.634875	0.7475
1697	YER079W	-0.9081	-1.128875	-0.785225	0.56375	0.63385
1698	YER080W	-0.564925	-0.8111	-0.713325	-0.1688	0.188575
1699	YER081W	-0.141575	1.835975	1.476825	1.8367	0.52515
1700	YER082C	2.337025	1.458575	0.6201	-2.0435	-1.3257
1701	YER083C	-1.144275	-0.9389	-1.06675	0.299625	0.2937
1727	YER107C	1.003125	0.979425	0.61325	-0.03825	-0.06795
1738	YER119C	-0.8453	-1.6426	-0.7939	0.871575	0.079625
1746	YER126C	1.31055	1.93505	0.9728	-2.14785	-0.99495
1747	YER127W	1.60695	2.425675	0.783575	-1.655725	-0.6345
1767	YER147C	1.191425	0.762625	0.385775	-0.359075	-0.307475
1781	YER161C	0.47735	0.734125	0.532825	0.339225	0.38135
1783	YER163C	-1.11605	-1.310925	-1.095975	0.210075	0.31665
1784	YER164W	-0.54585	-0.11745	0.2655	1.200175	0.4523
1788	YER168C	0.8017	1.377225	0.59835	0.0509	-0.4335
1789	YER169W	1.6389	2.5169	1.074925	0.3012	0.2397
1791	YER171W	0.41355	1.604	0.8291	-0.36365	-0.8283
1795	YER175C	-2.0015	-1.39	-0.57835	1.2609	4.632366667
1814	YFL002C	1.356125	1.14085	0.29525	-0.40795	-0.70755
1822	YFL010W-A	-1.4141	-1.3575	-1.1786	-0.1929	-0.48835
1827	YFL014W	-0.52035	-0.977225	0.3777	8.26225	8.6437
1830	YFL017C	-1.2583	-1.88135	-1.47745	0.509025	-0.02515
1834	YFL020C	-0.378325	0.5054	0.540025	1.364825	0.357475
1836	YFL022C	-0.61425	-0.789825	-0.881225	-0.604825	-0.77595
1838	YFL024C	-0.466475	-0.6369	-0.61015	0.693775	0.179175
1839	YFL025C	-0.101475	0.076975	0.0095	1.439125	0.312125
1842	YFL028C	-0.487175	-0.0508	-0.0911	0.48975	1.0837
