SPOT	Gene Symbol	15m	30m	60m	90m	120m
5087	YNR020C	1.0382	1.65195	0.792875	-0.1043	-0.121775
5095	YNR028W	0.75105	0.483	0.790275	0.681325	1.1763
5097	YNR030W	-0.125075	-1.209725	-0.9951	-0.212575	-0.5959
5107	YNR040W	-0.7237	-2.12195	-0.885575	-0.8261	-0.32095
5115	YNR048W	1.5026	1.113	1.501366667	-0.5884	0.629433333
5116	YNR049C	0.86165	1.5748	0.92025	0.332175	-0.038975
5121	YNR054C	0.97665	1.362175	1.039375	-0.16225	-0.111725
5132	YNR065C	0.1457	0.027825	-0.245525	-0.129	-0.811725
5135	YNR068C	-1.6592	-2.320275	-1.623675	-1.157425	-1.351175
5138	YNR071C	0.678675	0.46145	0.05305	-0.700175	-0.9044
5146	YOL002C	3.027275	4.9994	2.27545	-1.777225	-3.533925
5158	YOL014W	-0.88655	-0.444275	0.89385	1.45695	0.92125
5168	YOL024W	0.828266667	2.220733333	0.7988	0.52615	0.1473
5170	YOL026C	-1.255375	-1.097575	-0.9617	-0.324275	0.434675
5171	YOL027C	0.666225	0.91825	1.007375	-0.1992	-0.963375
5176	YOL032W	-1.1946	-1.309125	-1.43715	0.2233	-0.003325
5182	YOL038W	-0.255	-0.780525	-1.0034	-0.752025	-0.8946
5185	YOL041C	1.3325	1.65935	0.8526	-0.226925	-0.34445
5217	YOL072W	0.01915	0.645925	0.69785	0.168675	0.91335
5224	YOL080C	2.002425	3.035075	2.49095	-0.5219	-0.856075
5245	YOL101C	4.659825	6.5682	3.15325	-2.8239	-2.52255
5253	YOL109W	-2.102425	-4.247575	-4.287325	-2.94915	0.575925
5268	YOL124C	2.016025	2.212	1.4834	-0.609975	0.178575
5270	YOL126C	-0.6361	-1.574125	-0.921025	1.210875	1.292775
5279	YOL135C	-0.921325	-1.234625	-1.211025	-0.601825	-0.1514
5283	YOL139C	-0.210075	-0.1876	-0.621875	-0.460025	-0.9381
5287	YOL143C	-0.91885	-0.7183	-0.943925	-0.43835	0.961975
5291	YOL147C	-0.75605	-1.197225	-1.53705	-0.30225	-0.08515
5295	YOL151W	-0.495975	-1.422325	-2.645525	-2.26805	-2.005125
5318	YOR008C	1.421225	0.571375	1.746125	0.3469	0.1531
5319	YOR009W	1.065325	1.182475	1.312925	0.462525	0.46235
