SPOT	Gene Symbol	15m	30m	60m	90m	120m
4838	YNL110C	3.114466667	2.1839	2.815675	-1.164075	-0.7798
4840	YNL112W	5.27985	4.36765	4.9448	-3.673425	-4.404375
4841	YNL113W	2.0664	1.735175	1.496875	-1.222925	-0.173
4842	YNL114C	1.668525	1.264925	1.57165	-1.0368	0.2497
4847	YNL119W	2.15335	1.418475	1.5925	-0.855625	-0.295925
4851	YNL123W	0.9326	1.1663	0.86025	-0.614475	0.485325
4852	YNL124W	3.038925	2.112	1.80955	-0.80135	0.1804
4879	YNL151C	1.526225	1.099175	1.2348	-1.62845	-0.275775
4881	YNL153C	1.075375	0.83855	1.1385	-0.53865	0.460225
4884	YNL156C	1.221675	0.1237	0.93565	0.636775	0.149025
4887	YNL159C	-1.3401	-1.9178	-1.30785	-0.049625	0.166325
4888	YNL160W	-1.382675	-1.8437	-0.209375	5.15815	2.205525
4892	YNL164C	1.450625	1.0053	0.64595	-0.81075	0.133175
4894	YNL166C	-0.5873	-0.7352	-0.2613	0.72195	1.110525
4896	YNL168C	-0.978175	-1.707925	-1.95245	-0.359175	0.734175
4897	YNL169C	0.200125	-0.342075	1.1607	0.234233333	-0.97245
4901	YNL173C	1.123633333	0.423625	0.28125	2.250966667	1.2633
4902	YNL174W	1.1912	1.203625	1.43165	-3.1685	-2.277725
4905	YNL177C	1.23665	0.915275	1.1142	0.31415	0.218725
4906	YNL178W	-0.64695	-0.58955	-2.258575	0.25105	0.47085
4919	YNL191W	1.118133333	0.0189	1.17725	-1.18985	-0.267675
4928	YNL200C	-0.346375	-0.65905	-1.09065	2.53	1.737575
4931	YNL203C	1.213825	0.567025	0.948766667	0.171775	-0.244175
4932	YNL204C	1.91075	1.3217	1.765725	-1.12185	-1.195775
4933	YNL205C	1.674325	1.61065	1.483775	-2.3133	-1.073925
4935	YNL207W	1.95995	1.56265	1.388575	-1.0605	-0.19715
4936	YNL208W	-0.575125	-1.15185	-0.815	2.549925	2.768025
4939	YNL211C	0.68165	1.320825	0.512425	-0.6928	0.4127
4941	YNL213C	1.86535	1.5174	1.3981	-0.628525	-0.0032
4962	YNL234W	3.6424	2.7367	2.7386	-1.324875	0.121725
4968	YNL240C	1.4541	0.66575	2.434475	-0.84265	-0.604425
4976	YNL248C	1.478625	1.1247	1.80875	-1.7084	-0.8532
4977	YNL249C	-2.05225	-1.168975	-1.96875	-1.043725	-1.142075
