SPOT	Gene Symbol	15m	30m	60m	90m	120m
4432	YMR044W	0.851675	1.07038	0.8154	0.03622	-0.28782
4437	YMR049C	3.0037	2.88404	2.4736	-1.23882	0.06942
4439	YMR051C	-1.965775	-1.80962	-1.318175	-0.97446	-1.7198
4447	YMR058W	-1.18825	-1.21772	-0.80105	2.09668	1.64056
4448	YMR059W	1.72275	1.47764	1.19665	-0.46488	-0.3517
4456	YMR067C	-0.295275	-0.14295	0.24665	-0.67634	-0.91278
4466	YMR076C	-1.166675	-1.395275	-1.829025	1.00648	0.16756
4481	YMR090W	0.3556	0.7617	0.6618	2.4762	1.2369
4484	YMR093W	1.616375	1.28334	1.26725	-0.0073	-1.14572
4490	YMR099C	-0.95025	-1.742825	-2.066225	0.46156	0.34812
4494	YMR103C	1.655075	1.44096	0.33945	0.7299	1.9456
4496	YMR105C	0.171375	0.64878	-0.1138	2.65165	1.6298
4497	YMR106C	-0.486725	-0.65976	-1.2512	0.35258	0.2705
4512	YMR120C	-0.02395	-0.6928	-2.436575	0.57936	2.89128
4518	YMR126C	1.25295	1.5781	1.61715	-0.11718	-0.35766
4524	YMR132C	-0.566175	-0.87666	-0.741025	-0.30838	-1.04886
4527	YMR135C	0.934675	0.66894	0.38635	-0.01984	1.37356
4529	YMR136W	2.4181	2.4583	1.135	0.30172	0.30734
4534	YMR141C	3.035725	2.302	1.7555	1.28626	-0.36818
4537	YMR144W	-0.4769	-0.91064	-1.177775	0.97638	-0.17038
4539	YMR146C	-0.136975	0.83924	1.021	-0.33922	0.70688
4544	YMR151W	1.281725	1.50855	0.725425	-0.26036	0.26048
4545	YMR152W	-0.35555	-0.808775	-1.129325	0.95626	-0.02856
4546	YMR153C-A	-1.086625	-1.31764	-0.844625	0.00218	-0.23498
4561	YMR166C	-0.770475	-0.61634	-0.83765	-0.0755	-0.72842
4562	YMR167W	-1.0097	-1.10974	-0.656425	0.3239	-0.23148
4563	YMR168C	-0.943375	-1.0145	-0.785625	0.080425	0.15162
4569	YMR173W	0.70255	1.1416	1.313925	5.38926	3.00134
4570	YMR173W-A	2.127175	1.6338	1.5236	6.3602	3.22752
4574	YMR177W	1.3841	1.5121	2.4274	-0.19638	-0.84332
4575	YMR178W	-0.997775	-0.2878	-0.9162	0.4094	0.05342
4577	YMR180C	0.78835	0.72362	0.62655	1.09012	0.77534
4581	YMR184W	-0.377125	-1.34826	-0.802025	-0.3618	-0.00716
4585	YMR188C	1.181725	0.79224	1.557125	0.058	0.70824
4586	YMR189W	-1.339325	-1.06024	-1.9073	0.66022	1.23866
4588	YMR191W	0.58395	0.62198	0.038875	-0.2676	1.3728
4591	YMR193W	-0.561575	-1.00124	-0.8649	0.10776	-0.4031
4593	YMR195W	3.1558	3.1667	2.25685	0.4787	1.995875
4601	YMR203W	-0.966975	-0.88586	-0.749075	0.935575	0.65262
4605	YMR207C	-0.500475	-0.7091	-0.51595	0.7184	-0.3973
4606	YMR208W	-1.57895	-1.01206	-0.337475	-0.6085	-0.2297
4609	YMR211W	1.461975	1.42954	1.8404	-0.7392	-0.8032
4610	YMR212C	1.17875	1.76928	2.624175	-0.205	-0.92654
4624	YMR226C	-0.64105	-0.9886	-0.86875	1.78038	1.65664
4627	YMR229C	0.88695	1.16922	1.023625	-0.61565	-0.48398
4634	YMR236W	-1.7101	-2.16998	-2.212725	0.30406	-0.23224
4637	YMR239C	0.86005	1.50925	1.1596	-0.50084	-0.89826
4639	YMR241W	-0.84145	-1.0859	-1.5178	-0.60658	-0.03288
4642	YMR244C-A	0.293625	0.60824	0.250175	-1.204925	-1.20182
4643	YMR244W	-0.942225	-1.172625	-0.7952	-0.37548	-0.4523
4644	YMR245W	0.49235	-0.1655	0.110675	-2.3692	-0.6002
4645	YMR246W	2.43135	2.43326	2.396725	-6.93478	-4.50158
4647	YMR250W	-0.7011	-0.66755	-1.7519	3.3879	1.276525
4649	YMR251W-A	-1.029675	-0.328775	-0.384666667	5.38945	4.02608
4663	YMR265C	0.764375	1.18596	1.61845	-0.97246	0.13678
4665	YMR267W	1.763825	0.76196	0.742975	-0.79486	0.02392
4667	YMR269W	0.7422	0.563975	1.03745	-1.6506	-0.835
4672	YMR274C	1.46625	1.67578	1.6804	-0.65466	-0.78002
4679	YMR281W	1.626925	1.25478	1.05315	-0.0171	0.05366
4683	YMR285C	1.5979	1.33695	1.6208	0.495	0.49562
4688	YMR290C	0.922425	1.45155	1.452625	-0.85194	-0.49242
4698	YMR298W	-1.12205	-1.75884	-1.74395	-0.61138	-0.22736
4705	YMR304W	0.136575	0.05168	-0.1636	1.41312	-0.04764
4713	YMR312W	-1.66375	-1.88464	-2.6115	-0.5412	-0.86472
4716	YMR315W	-0.412975	-0.75734	-1.4204	2.582825	1.32818
4722	YMR319C	1.180875	1.94656	1.780075	-0.84468	-1.47008
4723	YMR320W	2.79725	1.8224	2.371725	-0.76614	-0.50112
4731	YNL002C	1.835175	1.83772	2.25595	-2.0765	-0.26376
4735	YNL006W	-1.15745	-1.70996	-2.02875	-0.09926	-0.17736
4736	YNL007C	-2.5663	-2.92534	-2.2699	0.05494	0.24978
4741	YNL012W	-1.1298	-0.4843	-0.32395	-0.6044	-0.33346
4744	YNL015W	-0.58065	-0.8872	-0.905	1.78955	1.60768
4745	YNL016W	-1.141725	-0.83166	-0.583575	0.66036	-1.07468
4753	YNL024C	5.3103	4.75922	6.255675	-0.84502	-0.1265
4764	YNL035C	-0.4746	-0.40976	-0.5203	-0.2558	-0.69622
4765	YNL036W	8.71045	7.56224	6.455125	5.79268	6.65858
4766	YNL037C	-3.27835	-2.784825	-3.259525	-2.35666	0.81254
4771	YNL042W	2.23635	2.34734	2.172925	-0.58056	-0.5673
4772	YNL043C	-1.1006	-1.0202	-0.9406	0.26118	0.73004
4773	YNL044W	-1.4195	-1.58252	-1.64425	0.32788	0.1742
4775	YNL046W	-1.22165	-1.02034	-0.83795	0.54498	-1.00074
4777	YNL048W	0.848725	1.018525	0.837775	0.03994	-0.16576
4789	YNL061W	1.9762	1.91124	2.27495	-0.56284	-0.60264
4793	YNL065W	3.225075	2.64652	2.5711	-2.0721	-0.36788
4799	YNL071W	-0.805625	-0.70022	-1.209125	1.333	0.54422
4801	YNL073W	1.20675	1.3526	1.049725	0.05755	0.4107
4803	YNL075W	1.846225	1.99532	1.60425	-1.13008	-1.16052
4804	YNL076W	1.214125	0.46852	0.384675	0.159225	0.37194
4807	YNL079C	-1.6494	-1.1347	-1.4123	-0.4815	-0.3145
4808	YNL080C	1.090675	1.1392	1.169225	0.745775	0.18866
4811	YNL083W	0.852875	1.82394	1.180625	-0.60446	0.04032
4813	YNL085W	-1.389566667	-0.40074	-0.223375	-0.03288	-1.23242
4818	YNL090W	-0.18845	-0.5012	-0.66985	0.8298	0.4015
4824	YNL096C	-0.9085	-1.36998	-1.298075	1.482225	0.08764
4825	YNL097C	1.6608	1.12738	1.388675	0.6002	0.39398
4826	YNL098C	-0.077325	-0.63378	-1.21135	2.13506	1.38158
4827	YNL099C	-1.339	-1.97466	-1.9116	0.03772	0.7852
4828	YNL100W	1.64095	1.64274	1.81445	-0.779925	0.56364
4832	YNL104C	0.0999	1.60898	2.191625	-0.2279	0.30088
4835	YNL107W	1.6788	1.06076	1.1306	-0.4952	-0.3268
4838	YNL110C	2.810575	2.43432	1.726975	-1.7643	-0.93692
4840	YNL112W	4.140425	4.59444	4.129725	-5.3939	-3.02486
4842	YNL114C	1.319725	0.52786	0.35895	-0.60808	-0.5923
4844	YNL116W	-1.1874	-0.6997	0.1977	0.0293	-0.31874
4847	YNL119W	1.555475	1.69696	2.11295	-0.7372	-0.65852
4851	YNL123W	1.570375	1.24232	1.59895	-0.34914	0.48964
4852	YNL124W	2.29465	2.63085	2.384775	-0.75844	-0.54412
4860	YNL132W	0.497175	0.96066	1.4602	-0.92054	-1.010725
4862	YNL134C	-0.22305	-0.58116	-1.062175	2.3985	1.78716
4869	YNL141W	0.628775	0.9205	1.0265	-1.79714	0.02002
4872	YNL144C	1.59785	1.12514	0.026875	-0.981525	0.66758
